rank	city	AQI	PM2.5	PM10	CO	NO2	O3/1	O3/8	SO2
123	滨州	29.75	20.75	34.75	10.79	25.25	44.00	39.67	40.00
124	潍坊	36.50	14.67	41.50	10.48	8.33	43.00	62.60	12.60
125	潮州	94.00	51.18	31.50	28.15	34.50	65.00	84.33	9.33
126	烟台	31.86	16.14	35.00	8.02	15.71	41.67	54.17	20.67
127	焦作	96.80	58.16	86.80	7.11	42.80	25.20	33.25	31.25
128	牡丹江	58.33	34.28	46.80	9.56	23.33	49.83	60.40	27.00
129	玉溪	44.25	18.20	39.33	7.60	26.25	34.75	43.00	55.33
130	珠海	57.40	32.70	14.00	14.61	24.80	55.20	68.75	6.00
131	瓦房店	40.67	26.00	31.00	9.25	63.00	16.00	18.00	139.50
132	盐城	51.60	23.31	45.20	11.26	21.00	45.80	60.25	10.75
133	盘锦	77.25	43.04	75.50	3.13	43.00	15.25	16.33	41.33
134	石嘴山	55.00	16.09	53.40	8.78	22.40	39.20	44.25	28.00
135	石家庄	117.22	78.57	106.33	3.24	46.33	26.00	24.12	73.00
136	福州	51.29	32.67	41.14	9.14	21.86	50.71	57.50	3.50
137	秦皇岛	89.83	51.07	107.00	1.83	57.67	13.20	17.40	50.20
138	章丘	78.33	38.64	75.67	5.62	35.33	35.00	16.00	75.00
139	绍兴	51.25	21.85	47.75	7.06	31.00	25.00	27.00	17.00
140	绵阳	35.40	21.00	41.80	11.97	11.00	55.50	56.50	6.75
141	聊城	42.75	33.75	36.25	5.49	40.00	13.50	18.00	36.67
142	肇庆	158.25	90.10	129.75	3.56	64.25	23.50	21.67	62.33
143	胶南	33.50	18.50	50.00	28.26	14.00	57.00	56.00	15.00
144	胶州	25.33	20.67	28.67	16.57	46.00	44.50	49.50	77.50
145	自贡	96.60	57.86	78.60	8.02	19.60	30.20	36.25	10.25
146	舟山	20.25	8.25	33.00	17.47	4.50	70.33	69.00	1.67
147	芜湖	35.00	22.80	32.00	13.35	13.80	34.75	64.50	13.50
148	苏州	31.11	22.33	31.00	4.34	41.67	25.00	35.62	13.25
149	茂名	66.60	38.58	51.00	15.54	35.80	61.60	85.25	11.50
150	荆州	57.75	30.28	46.00	12.08	22.50	37.00	39.67	12.33
151	荣成	15.67	6.00	30.67	18.43	4.33	56.00	55.50	7.00
152	莱州	29.33	18.33	36.33	13.41	17.00	42.00	39.00	24.50
153	莱芜	80.00	44.30	55.00	4.40	24.25	23.00	10.00	49.33
154	莱西	28.67	19.33	36.00	18.33	36.33	48.00	54.50	70.00
155	菏泽	55.75	24.07	49.75	10.72	27.75	39.25	35.67	38.67
156	营口	73.60	42.97	70.25	3.68	56.40	26.00	25.50	86.00
157	葫芦岛	102.80	59.10	123.80	3.18	47.20	17.20	14.00	62.25
158	蓬莱	23.33	12.67	36.00	17.50	16.33	48.00	52.00	12.00
159	衡水	74.75	40.11	86.75	4.82	51.25	23.50	24.00	57.67
160	衢州	28.50	23.75	24.67	7.62	25.00	23.67	27.67	6.67
161	西宁	77.20	35.28	88.20	13.33	32.80	53.00	61.00	18.50
162	西安	94.07	62.66	78.10	3.09	28.83	15.92	15.50	34.62
164	贵阳	57.30	33.62	59.30	3.34	26.40	23.50	33.56	23.56
165	赤峰	40.00	22.40	37.40	5.92	38.00	20.25	24.50	94.00
166	连云港	38.40	14.20	47.20	10.56	16.80	55.25	51.25	19.25
167	遵义	30.17	21.17	32.83	7.53	18.00	44.00	39.60	6.20
168	邢台	83.00	49.25	73.50	4.99	46.60	31.80	23.50	77.50
169	邯郸	62.20	31.98	68.25	7.70	39.80	35.00	42.75	33.25
170	郑州	68.40	44.48	51.25	3.08	41.40	23.44	43.33	18.67
171	鄂尔多斯	59.50	13.79	62.50	5.44	33.00	29.67	30.40	31.40
172	重庆	56.88	37.19	47.44	1.96	28.47	14.00	7.69	8.06
173	金华	64.50	34.72	37.00	5.40	31.50	17.75	15.67	13.33
174	金坛	23.33	16.33	36.50	18.54	12.33	52.00	52.00	11.00
175	金昌	88.75	27.48	98.00	11.69	20.25	40.50	45.67	38.33
176	铜川	99.20	59.27	81.33	10.09	32.00	40.80	34.00	37.75
177	银川	43.71	23.86	45.17	4.99	18.14	35.50	31.50	25.00
178	锦州	95.17	57.97	101.17	3.52	43.00	21.17	21.20	64.60
179	镇江	27.60	17.40	37.50	11.96	17.80	54.50	56.75	9.75
180	长春	109.55	73.48	108.64	2.84	53.55	24.64	23.90	75.30
181	长沙	38.18	27.64	13.00	1.86	30.18	13.50	7.50	14.60
182	长治	101.83	63.68	98.00	5.23	32.17	22.50	25.00	30.60
183	阳江	72.25	39.74	48.33	17.98	44.25	52.50	98.33	2.67
184	阳泉	85.14	42.54	107.00	5.69	39.71	38.71	37.50	58.00
185	青岛	29.90	15.20	34.22	5.93	17.20	53.67	53.11	22.89
186	鞍山	80.38	42.39	91.75	4.79	38.12	31.00	20.14	63.71
187	韶关	84.83	52.14	72.50	4.76	42.17	19.50	41.40	13.20
188	马鞍山	54.33	32.01	30.67	5.05	18.50	23.33	27.00	15.20
189	齐齐哈尔	38.50	21.40	40.17	4.63	12.17	48.60	24.00	23.60
