name,AQI,PM2.5,PM10,CO,CO2,O3/1,O3/8,SO2
良,74,28,97,0.35,43,86,44,14
良,79,30,108,0.374,52,63,30,16
良,85,32,120,0.539,72,29,27,21
良,85,30,120,0.458,73,21,31,14
良,77,23,103,0.401,65,30,36,9
良,68,20,85,0.353,64,35,47,7
良,65,23,79,0.343,64,43,64,8
良,71,27,91,0.515,94,30,80,6
良,70,26,90,0.629,87,52,97,8
良,68,21,86,0.155,28,105,102,4
良,70,21,89,0.103,17,107,90,4
良,75,24,100,0.129,17,105,72,7
良,87,31,123,0.177,20,96,52,9
良,95,36,140,0.252,31,70,36,16
良,99,36,147,0.391,44,41,26,18
良,100,36,149,0.458,58,20,27,20
轻度污染,106,40,161,0.319,53,26,32,20
轻度污染,109,41,168,0.336,64,24,40,17
轻度污染,114,42,178,0.366,66,31,54,18
良,100,32,149,0.422,63,48,66,5
轻度污染,102,73,153,0.399,79,48,78,5
良,97,64,144,0.223,36,78,86,5
轻度污染,116,79,182,0.212,27,84,79,4
轻度污染,122,83,194,0.251,20,88,74,3
轻度污染,116,50,182,0.408,21,90,63,7
良,99,45,148,0.462,27,81,60,11
良,87,45,124,0.58,48,48,61,15
良,97,56,143,0.533,33,54,68,14
良,83,44,115,0.515,20,66,62,7
良,92,55,133,0.772,30,63,58,7
良,90,45,130,0.891,17,82,66,6
_,_,_,_,_,_,_,_,3
良,58,23,65,0.425,63,43,106,4
良,56,23,61,0.226,23,88,122,5
良,59,27,67,0.214,21,125,114,8
良,60,28,69,0.17,15,137,90,11
良,72,38,94,0.482,44,131,58,10
良,76,43,102,0.814,85,76,42,8
良,70,40,89,0.634,72,48,36,7
良,77,43,103,0.925,76,16,36,5
良,64,32,77,0.553,44,41,39,6
良,66,31,81,0.418,41,47,46,7
良,68,33,86,0.464,55,46,66,7
良,73,30,95,0.584,90,34,94,7
良,66,26,82,0.665,108,50,121,6
良,59,23,68,0.213,30,121,128,10
良,63,25,76,0.171,20,130,72,10
良,63,25,76,0.171,20,130,72,13
良,64,26,78,0.167,20,112,59,15
良,70,31,90,0.328,39,70,43,15
良,68,29,85,0.342,50,45,35,22
良,70,30,90,0.363,51,31,34,17
良,72,32,94,0.346,47,32,42,11
良,71,35,92,0.291,48,39,54,6
良,75,37,99,0.648,78,28,74,6
良,67,31,84,0.626,70,58,94,6
良,65,26,79,0.577,77,76,107,8
良,61,23,71,0.29,39,113,104,9
良,61,25,72,0.289,39,115,86,11
良,59,24,67,0.37,38,122,62,21
良,97,47,143,2.84,42,8,9,24
轻度污染,124,62,197,4.599,61,9,38,26
轻度污染,112,53,173,4.693,76,9,64,26
轻度污染,105,57,160,3.691,99,10,85,24
良,78,37,106,1.98,45,99,92,30
良,77,39,104,2.08,34,95,53,34
良,79,41,107,2.316,39,67,34,29
良,75,36,100,1.851,37,42,26,27
良,74,34,98,2.187,33,31,24,21
良,64,21,77,2.086,36,15,22,19
良,61,20,72,1.842,32,24,22,19
良,63,21,75,1.879,27,34,22,20
良,71,25,91,1.939,35,26,34,22
良,80,36,109,2.226,51,11,50,24
良,71,24,91,2.007,41,43,74,21
良,68,22,85,1.62,20,72,76,20
良,67,21,84,1.639,11,81,68,20
良,66,21,82,1.602,8,83,54,21
良,67,23,83,1.626,8,73,41,24
良,69,26,87,1.694,13,48,36,26
良,58,22,65,1.904,18,28,36,23
良,51,16,51,1.574,17,27,38,20
优,50,16,50,1.609,12,41,38,20
良,51,19,51,1.61,11,47,36,19
良,55,17,59,1.674,14,41,40,18
良,55,16,59,1.897,30,29,46,18
良,56,15,62,1.862,31,33,56,18
良,58,15,66,1.695,15,57,60,19
良,63,17,75,1.657,14,60,57,21
良,65,19,79,1.618,10,70,52,25
良,89,28,128,1.688,13,67,45,21
良,85,54,119,2.22,21,49,45,20
良,83,52,116,2.162,19,43,43,19
良,86,53,121,2.006,17,40,36,20
良,64,28,77,1.855,28,42,35,22
良,75,36,100,2.231,51,17,41,22
良,77,36,103,2.252,56,11,51,21
良,77,33,103,2.191,53,27,77,20
良,72,29,93,2.021,40,56,96,20
良,68,26,85,1.826,22,92,102,22
良,70,30,89,1.586,15,114,82,22
良,70,30,89,1.586,15,114,82,23
良,73,33,95,1.523,15,94,72,27
良,73,33,95,1.084,12,77,62,25
良,80,39,110,1.721,26,48,48,19
_,_,_,_,_,_,_,_,19
_,_,_,_,_,_,_,_,20
_,_,_,_,_,_,_,_,20
_,_,_,_,_,_,_,_,20
_,_,_,_,_,_,_,_,20
_,_,_,_,_,_,_,_,19
良,63,24,76,1.648,23,90,91,27
良,66,27,81,1.722,23,109,79,27
良,66,29,81,1.817,22,94,61,27
良,64,27,77,1.824,22,53,41,27
良,64,27,77,1.824,22,53,41,27
良,57,22,63,1.648,19,46,37,27
良,59,23,68,1.596,19,28,37,31
良,75,32,100,1.807,29,46,54,27
良,75,32,100,1.807,29,46,54,24
良,75,32,100,1.807,29,46,54,27
良,75,32,100,1.807,29,46,54,24
良,75,32,100,1.807,29,46,54,23
良,75,32,100,1.807,29,46,54,25
轻度污染,103,57,156,2.423,27,51,47,24
轻度污染,132,85,214,2.314,18,69,34,25
轻度污染,119,65,187,2.225,31,33,15,27
轻度污染,122,61,194,2.259,37,25,11,25
良,89,35,128,2.185,39,10,8,21
良,89,35,128,2.101,41,7,8,21
良,91,36,131,1.894,44,7,14,23
良,81,33,111,1.819,43,12,22,24
良,81,32,112,2.209,53,7,38,26
良,75,28,99,1.973,42,23,60,27
良,73,29,96,2.022,50,32,74,24
良,72,26,93,1.69,30,68,81,20
良,58,25,66,1.63,19,96,75,21
良,59,27,68,1.777,24,89,59,24
良,59,26,68,1.723,24,70,42,34
良,61,26,72,1.556,17,53,24,26
良,63,26,76,1.723,26,41,23,22
良,69,31,88,1.82,39,18,28,28
良,69,29,87,1.756,50,11,37,29
良,63,29,76,1.686,35,26,54,24
良,63,26,75,1.563,26,47,71,21
良,80,40,109,1.785,30,49,84,21
良,84,47,117,2.414,53,67,95,22
良,80,43,109,1.985,34,101,91,22
良,61,27,71,1.794,27,64,28,22
良,61,28,72,1.968,33,36,22,22
